Domain	Phylum	Class	Order	Family	Genus	Species	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
5c6ec01302e40187281404748e0e91a1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	665	0	0	0	0	0	0	0	0
89f9a6217b73420f5804ed62d8d73b00	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_486827	Sphingomonas_O_486718	Sphingomonas_O_486718 paeninsulae	4	548	0	0	37	0	0	4	0	0	0	25	46	0
a704ec34e11c94c7f0a9ee891640851f	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Unassigned	0	0	0	0	0	0	0	654	0	0	0	0	0	0
ca3666c2eccc26ef306af8f58b13f67f	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides_A_392796	Nocardioides_A_392796 sp000364605	0	0	0	0	633	0	0	0	0	0	0	0	0	0
5ab5ab995fe79f936147e3ac70198389	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	614	0	0	0	0	0	0
c088e0ff7bf99e33f428f1190da74695	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	605	0	0	0	0	0	0
21d63043c762dfbaedd0bfc5a1caae98	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Jatrophihabitantaceae	Jatrophihabitans_A_372606	Jatrophihabitans_A_372606 soli	0	0	0	0	603	0	0	0	0	0	0	0	0	0
4d6e83b3becc388894a61d9e94f6f409	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	271	0	329	0	0	0	0	0	0
2af0996314fb49fc73c163aa11acfb30	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	499	0	0	101	0	0	0
3addfd49948b0cffe30de7933bc89dbc	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Unassigned	77	0	0	269	0	0	244	0	0	0	0	0	0	0
